EDAD;SEXO;LOCALIDAD;MUNICIPIO_NACIMIENTO;MODALIDAD ;CENTRO.FORMACIÓN;TIPO.COLEGIO.EST;GRADO.TERMINADO;ESTRATO;PUNTAJE_SISBEN;TIPO.FORMACIÓN;ESTUDIA.TRABAJA;ESTADO.FORMACIÓN;SENASOFT
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;2;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;M;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;2;5;TECNÓLOGO;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;2;2;COMPLEMENTARIA;1;RETIRADO;
18;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;NOVENO;6;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;2;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;TÉCNICO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;NOVENO;6;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;TÉCNICO;2;RETIRADO;
18;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;2;RETIRADO;
18;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;NOVENO;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;4;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TÉCNICO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;2;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;2;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;2;RETIRADO;
18;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;NOVENO;6;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;2;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;3;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;TECNÓLOGO;2;RETIRADO;
18;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;2;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;2;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;3;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;2;3;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;TÉCNICO;2;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;2;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;3;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;2;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;3;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;M;1;ITAGUI;VIRTUAL;CTT;PRIVADO;ONCE;2;2;TÉCNICO;1;RETIRADO;
23;M;1;MONTEBELLO;VIRTUAL;CTT;PRIVADO;ONCE;3;5;TECNÓLOGO;2;RETIRADO;
23;M;1;BELLO;VIRTUAL;CTT;PRIVADO;ONCE;3;1;TECNÓLOGO;2;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
18;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;3;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;3;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;1;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;3;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;2;2;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
28;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;TÉCNICO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;2;2;COMPLEMENTARIA;2;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;3;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;2;RETIRADO;
28;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;2;RETIRADO;
23;F;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;2;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;2;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;1;RETIRADO;
23;M;1;BOGOTÁ;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;F;1;BUCARAMANGA;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;2;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;3;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;TECNÓLOGO;1;RETIRADO;
18;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;3;TECNÓLOGO;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;2;5;TECNÓLOGO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;2;RETIRADO;
18;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;M;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;TÉCNICO;2;RETIRADO;
28;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;2;TÉCNICO;2;RETIRADO;
18;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;2;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;3;3;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;6;5;TÉCNICO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;TECNÓLOGO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;2;RETIRADO;
23;M;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;F;1;ENVIGADO;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;TECNÓLOGO;2;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;2;2;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;2;3;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;PRESENCIAL;CTT;PRIVADO;ONCE;3;3;TÉCNICO;2;RETIRADO;
